Nombre;Fecha y hora;Azimut;Altitud;Mag.;Fase;Dist., UA;Elong.;Azimuts;Altures
Sol;01/01/2025 15:00;"+210°20'12.0""";"+19°25'05.6""";-26.39;—;0.983331;—;210.3333333;19.41666667
Sol;02/01/2025 15:00;"+210°16'19.9""";"+19°32'41.9""";-26.39;—;0.983321;—;210.2666667;19.53333333
Sol;03/01/2025 15:00;"+210°12'43.5""";"+19°40'40.8""";-26.4;—;0.983315;—;210.2;19.66666667
Sol;04/01/2025 15:00;"+210°09'23.6""";"+19°49'01.9""";-26.4;—;0.983313;—;210.15;19.81666667
Sol;05/01/2025 15:00;"+210°06'20.0""";"+19°57'45.1""";-26.4;—;0.983315;—;210.1;19.95
Sol;06/01/2025 15:00;"+210°03'33.6""";"+20°06'49.9""";-26.4;—;0.983322;—;210.05;20.1
Sol;07/01/2025 15:00;"+210°01'04.2""";"+20°16'16.1""";-26.41;—;0.983334;—;210.0166667;20.26666667
Sol;08/01/2025 15:00;"+209°58'52.4""";"+20°26'03.1""";-26.41;—;0.983351;—;209.9666667;20.43333333
Sol;09/01/2025 15:00;"+209°56'58.0""";"+20°36'11.0""";-26.41;—;0.983373;—;209.9333333;20.6
Sol;10/01/2025 15:00;"+209°55'21.7""";"+20°46'39.1""";-26.41;—;0.983402;—;209.9166667;20.76666667
Sol;11/01/2025 15:00;"+209°54'03.2""";"+20°57'27.4""";-26.42;—;0.983437;—;209.9;20.95
Sol;12/01/2025 15:00;"+209°53'03.2""";"+21°08'35.3""";-26.42;—;0.983478;—;209.8833333;21.13333333
Sol;13/01/2025 15:00;"+209°52'21.3""";"+21°20'02.6""";-26.42;—;0.983525;—;209.8666667;21.33333333
Sol;14/01/2025 15:00;"+209°51'58.2""";"+21°31'49.0""";-26.43;—;0.983579;—;209.85;21.51666667
Sol;15/01/2025 15:00;"+209°51'53.6""";"+21°43'54.2""";-26.43;—;0.98364;—;209.85;21.71666667
Sol;16/01/2025 15:00;"+209°52'08.1""";"+21°56'17.6""";-26.43;—;0.983706;—;209.8666667;21.93333333
Sol;17/01/2025 15:00;"+209°52'41.4""";"+22°08'59.4""";-26.44;—;0.983779;—;209.8666667;22.13333333
Sol;18/01/2025 15:00;"+209°53'34.2""";"+22°21'58.7""";-26.44;—;0.983857;—;209.8833333;22.35
Sol;19/01/2025 15:00;"+209°54'46.0""";"+22°35'15.6""";-26.44;—;0.983942;—;209.9;22.58333333
Sol;20/01/2025 15:00;"+209°56'17.6""";"+22°48'49.4""";-26.44;—;0.984031;—;209.9333333;22.8
Sol;21/01/2025 15:00;"+209°58'08.7""";"+23°02'40.0""";-26.45;—;0.984126;—;209.9666667;23.03333333
Sol;22/01/2025 15:00;"+210°00'19.7""";"+23°16'46.7""";-26.45;—;0.984225;—;210;23.26666667
Sol;23/01/2025 15:00;"+210°02'50.4""";"+23°31'09.5""";-26.45;—;0.98433;—;210.0333333;23.51666667
Sol;24/01/2025 15:00;"+210°05'41.5""";"+23°45'47.6""";-26.46;—;0.984438;—;210.0833333;23.75
Sol;25/01/2025 15:00;"+210°08'52.6""";"+24°00'41.0""";-26.46;—;0.984551;—;210.1333333;24
Sol;26/01/2025 15:00;"+210°12'24.2""";"+24°15'48.8""";-26.46;—;0.984668;—;210.2;24.25
