Nombre;Fecha y hora;Azimut;Altitud;Mag.;Fase;Dist., UA;Azimuts;Altures;;;;;;;;;Altures
Sol;01/01/2025 12:00;"+166°01'58.0""";"+24°18'25.3""";-26.46;—;0.98333;166.0166667;24.3;166;1;;166.0166667;;24;18;;24.3
Sol;02/01/2025 12:00;"+165°53'50.7""";"+24°22'26.0""";-26.47;—;0.983319;165.8833333;24.36666667;165;53;;165.8833333;;24;22;;24.36666667
Sol;03/01/2025 12:00;"+165°45'41.7""";"+24°26'53.5""";-26.47;—;0.983312;165.75;24.43333333;165;45;;165.75;;24;26;;24.43333333
Sol;04/01/2025 12:00;"+165°37'32.0""";"+24°31'48.0""";-26.47;—;0.98331;165.6166667;24.51666667;165;37;;165.6166667;;24;31;;24.51666667
Sol;05/01/2025 12:00;"+165°29'21.4""";"+24°37'09.2""";-26.47;—;0.983311;165.4833333;24.61666667;165;29;;165.4833333;;24;37;;24.61666667
Sol;06/01/2025 12:00;"+165°21'10.7""";"+24°42'57.0""";-26.47;—;0.983318;165.35;24.7;165;21;;165.35;;24;42;;24.7
Sol;07/01/2025 12:00;"+165°12'59.9""";"+24°49'11.4""";-26.47;—;0.983329;165.2;24.81666667;165;12;;165.2;;24;49;;24.81666667
Sol;08/01/2025 12:00;"+165°04'49.7""";"+24°55'52.1""";-26.47;—;0.983345;165.0666667;24.91666667;165;4;;165.0666667;;24;55;;24.91666667
Sol;09/01/2025 12:00;"+164°56'39.9""";"+25°02'59.0""";-26.47;—;0.983367;164.9333333;25.03333333;164;56;;164.9333333;;25;2;;25.03333333
Sol;10/01/2025 12:00;"+164°48'31.3""";"+25°10'31.9""";-26.47;—;0.983395;164.8;25.16666667;164;48;;164.8;;25;10;;25.16666667
Sol;11/01/2025 12:00;"+164°40'23.6""";"+25°18'30.6""";-26.48;—;0.983429;164.6666667;25.3;164;40;;164.6666667;;25;18;;25.3
Sol;12/01/2025 12:00;"+164°32'17.5""";"+25°26'54.9""";-26.48;—;0.983469;164.5333333;25.43333333;164;32;;164.5333333;;25;26;;25.43333333
Sol;13/01/2025 12:00;"+164°24'12.8""";"+25°35'44.6""";-26.48;—;0.983516;164.4;25.58333333;164;24;;164.4;;25;35;;25.58333333
Sol;14/01/2025 12:00;"+164°16'10.2""";"+25°44'59.5""";-26.48;—;0.983569;164.2666667;25.73333333;164;16;;164.2666667;;25;44;;25.73333333
