Nombre;Fecha y hora;Azimut;Altitud;Mag.;Fase;Dist., UA;Elong.;Azimuts;Altures;;;;
Sol;01/01/2025 9:00;"+127°40'35.8""";"+5°47'33.2""";-25.59;—;0.983344;—;127.6666667;5.783333333;;;40;0.666666667
Sol;02/01/2025 9:00;"+127°32'09.8""";"+5°47'28.3""";-25.59;—;0.983333;—;127.5333333;5.783333333;;127;32;
Sol;03/01/2025 9:00;"+127°23'29.6""";"+5°47'46.2""";-25.59;—;0.983326;—;127.3833333;5.783333333;;127;23;
Sol;04/01/2025 9:00;"+127°14'36.1""";"+5°48'27.4""";-25.6;—;0.983323;—;127.2333333;5.8;;127;14;
Sol;05/01/2025 9:00;"+127°05'29.1""";"+5°49'31.8""";-25.6;—;0.983324;—;127.0833333;5.816666667;;127;5;
Sol;06/01/2025 9:00;"+126°56'09.6""";"+5°50'59.7""";-25.6;—;0.98333;—;126.9333333;5.833333333;;126;56;
Sol;07/01/2025 9:00;"+126°46'37.5""";"+5°52'50.9""";-25.61;—;0.983341;—;126.7666667;5.866666667;;126;46;
Sol;08/01/2025 9:00;"+126°36'53.6""";"+5°55'05.8""";-25.61;—;0.983356;—;126.6;5.916666667;;126;36;
Sol;09/01/2025 9:00;"+126°26'57.9""";"+5°57'44.0""";-25.62;—;0.983378;—;126.4333333;5.95;;126;26;
Sol;10/01/2025 9:00;"+126°16'51.0""";"+6°00'45.9""";-25.63;—;0.983405;—;126.2666667;6;;126;16;
Sol;11/01/2025 9:00;"+126°06'33.0""";"+6°04'11.2""";-25.64;—;0.983438;—;126.1;6.066666667;;126;6;
Sol;12/01/2025 9:00;"+125°56'04.6""";"+6°08'00.0""";-25.65;—;0.983478;—;125.9333333;6.133333333;;125;56;
Sol;13/01/2025 9:00;"+125°45'25.5""";"+6°12'12.1""";-25.66;—;0.983524;—;125.75;6.2;;125;45;
Sol;14/01/2025 9:00;"+125°34'36.8""";"+6°16'47.8""";-25.67;—;0.983576;—;125.5666667;6.266666667;;125;34;
Sol;15/01/2025 9:00;"+125°23'38.0""";"+6°21'46.6""";-25.68;—;0.983635;—;125.3833333;6.35;;125;23;
Sol;16/01/2025 9:00;"+125°12'30.1""";"+6°27'08.9""";-25.7;—;0.9837;—;125.2;6.45;;125;12;
Sol;17/01/2025 9:00;"+125°01'12.9""";"+6°32'54.2""";-25.71;—;0.983771;—;125.0166667;6.533333333;;125;1;
Sol;18/01/2025 9:00;"+124°49'47.0""";"+6°39'02.7""";-25.73;—;0.983849;—;124.8166667;6.65;;124;49;
Sol;19/01/2025 9:00;"+124°38'12.4""";"+6°45'34.2""";-25.74;—;0.983931;—;124.6333333;6.75;;124;38;
Sol;20/01/2025 9:00;"+124°26'29.9""";"+6°52'28.8""";-25.76;—;0.98402;—;124.4333333;6.866666667;;124;26;
Sol;21/01/2025 9:00;"+124°14'39.2""";"+6°59'46.0""";-25.77;—;0.984113;—;124.2333333;6.983333333;;124;14;
Sol;22/01/2025 9:00;"+124°02'41.1""";"+7°07'26.1""";-25.79;—;0.984212;—;124.0333333;7.116666667;;124;2;
Sol;23/01/2025 9:00;"+123°50'35.4""";"+7°15'28.6""";-25.8;—;0.984315;—;123.8333333;7.25;;123;50;
Sol;24/01/2025 9:00;"+123°38'23.1""";"+7°23'53.7""";-25.82;—;0.984423;—;123.6333333;7.383333333;;123;38;
Sol;25/01/2025 9:00;"+123°26'03.9""";"+7°32'40.9""";-25.84;—;0.984534;—;123.4333333;7.533333333;;123;26;
Sol;26/01/2025 9:00;"+123°13'38.6""";"+7°41'50.3""";-25.85;—;0.98465;—;123.2166667;7.683333333;;123;13;
Sol;27/01/2025 9:00;"+123°01'07.1""";"+7°51'21.6""";-25.87;—;0.98477;—;123.0166667;7.85;;123;1;
Sol;28/01/2025 9:00;"+122°48'30.2""";"+8°01'14.7""";-25.89;—;0.984892;—;122.8;8.016666667;;122;48;
Sol;29/01/2025 9:00;"+122°35'47.7""";"+8°11'29.2""";-25.9;—;0.985018;—;122.5833333;8.183333333;;122;35;
Sol;30/01/2025 9:00;"+122°23'00.5""";"+8°22'05.2""";-25.92;—;0.985147;—;122.3833333;8.366666667;;122;23;
Sol;31/01/2025 9:00;"+122°10'08.4""";"+8°33'02.2""";-25.93;—;0.98528;—;122.1666667;8.55;;122;10;
Sol;01/02/2025 9:00;"+121°57'12.1""";"+8°44'20.2""";-25.95;—;0.985415;—;121.95;8.733333333;;121;57;
Sol;02/02/2025 9:00;"+121°44'11.5""";"+8°55'58.8""";-25.97;—;0.985553;—;121.7333333;8.916666667;;121;44;
